Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
24-06-2018,MAHARASHTRA,RAIGARH,3.99,-,28.17,32.41377144
24-06-2018,MAHARASHTRA,AMRAVATI,0.55,-,4.09,36.27694398
24-06-2018,MAHARASHTRA,NANDED,0.36,-,3,37.80517621
24-06-2018,MAHARASHTRA,SOLAPUR,1.37,-,11.63,37.32040407
24-06-2018,MAHARASHTRA,AHMADNAGAR,0.88,-,6.75,36.72110128
24-06-2018,MAHARASHTRA,THANE,1.12,-,8.99,30.64401662
24-06-2018,MAHARASHTRA,SANGLI,3.32,-,27.05,36.54537162
24-06-2018,MAHARASHTRA,WARDHA,0.19,-,1.2,36.4449801
24-06-2018,MAHARASHTRA,BULDANA,0,-,0,35.63118407
24-06-2018,MAHARASHTRA,SINDHUDURG,5.52,-,36.41,36.60134847
23-06-2018,MAHARASHTRA,WASHIM,0.02,-,0.12,41.97023667
23-06-2018,MAHARASHTRA,SATARA,5.29,-,42.27,35.33927466
23-06-2018,MAHARASHTRA,PUNE,2.4,-,15.96,37.56536922
23-06-2018,MAHARASHTRA,PARBHANI,0.07,-,0.43,39.46857024
23-06-2018,MAHARASHTRA,JALNA,0.28,-,1.71,37.36291196
23-06-2018,MAHARASHTRA,GONDIYA,0.07,-,0.71,32.90496723
23-06-2018,MAHARASHTRA,MUMBAI,0,-,0,43.85269983
23-06-2018,MAHARASHTRA,NASHIK,0.43,-,2.97,34.21756518
23-06-2018,MAHARASHTRA,GARHCHIROLI,0.39,-,3.48,32.61139336
23-06-2018,MAHARASHTRA,RATNAGIRI,4.61,-,28.95,36.66581572
23-06-2018,MAHARASHTRA,OSMANABAD,2.39,-,23.95,40.28926408
23-06-2018,MAHARASHTRA,BID,1.82,-,16.54,38.66134876
23-06-2018,MAHARASHTRA,LATUR,5.52,-,51.41,41.24950668
23-06-2018,MAHARASHTRA,YAVATMAL,0.07,-,0.53,38.62568028
23-06-2018,MAHARASHTRA,BHANDARA,1.12,-,11.96,36.21840564
23-06-2018,MAHARASHTRA,MUMBAI SUBURBAN,0.01,-,0.12,38.80617021
23-06-2018,MAHARASHTRA,NANDURBAR,0.08,-,0.44,32.6751254
23-06-2018,MAHARASHTRA,NAGPUR,1.54,-,18.1,38.63239203
23-06-2018,MAHARASHTRA,CHANDRAPUR,0.2,-,1.76,37.67830844
23-06-2018,MAHARASHTRA,JALGAON,0.19,-,1.23,33.48065604
23-06-2018,MAHARASHTRA,HINGOLI,0.09,-,0.53,40.05083492
23-06-2018,MAHARASHTRA,AKOLA,0.08,-,0.53,39.91558562
23-06-2018,MAHARASHTRA,AURANGABAD,0.42,-,2.71,37.94410016
23-06-2018,MAHARASHTRA,DHULE,0.12,-,0.75,35.11813458
23-06-2018,MAHARASHTRA,KOLHAPUR,6.92,-,56.22,39.16604019
23-06-2018,MAHARASHTRA,RAIGARH,4.66,-,32.31,33.79668362
23-06-2018,MAHARASHTRA,AMRAVATI,0.6,-,4.47,37.81580837
23-06-2018,MAHARASHTRA,NANDED,0.41,-,3.32,39.53161642
23-06-2018,MAHARASHTRA,SOLAPUR,1.5,-,12.69,39.77063086
23-06-2018,MAHARASHTRA,AHMADNAGAR,1.02,-,7.61,39.0191452
23-06-2018,MAHARASHTRA,THANE,1.05,-,8.58,29.95279882
23-06-2018,MAHARASHTRA,SANGLI,3.63,-,29.6,38.89258449
23-06-2018,MAHARASHTRA,WARDHA,0.2,-,1.29,37.82510207
23-06-2018,MAHARASHTRA,BULDANA,0.03,-,0.15,37.6442275
23-06-2018,MAHARASHTRA,SINDHUDURG,6.25,-,41.43,38.2358858
22-06-2018,MAHARASHTRA,WASHIM,0.03,-,0.17,44.69443919
22-06-2018,MAHARASHTRA,SATARA,7.3,-,56.93,40.05770165
22-06-2018,MAHARASHTRA,PUNE,3.45,-,22.39,41.88670964
22-06-2018,MAHARASHTRA,PARBHANI,0.11,-,0.68,43.34409508
22-06-2018,MAHARASHTRA,JALNA,0.47,-,2.77,40.48862148
22-06-2018,MAHARASHTRA,GONDIYA,0.1,-,0.91,34.37007728
