Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
16-06-2018,ANDHRA PRADESH,WEST GODAVARI,0.22,-,1.95,31.86989142
16-06-2018,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,0.77,-,5.44,30.914939
16-06-2018,ANDHRA PRADESH,ANANTAPUR,3.83,-,27.37,32.78004848
16-06-2018,ANDHRA PRADESH,KURNOOL,6.25,-,49.57,34.77976231
16-06-2018,ANDHRA PRADESH,KRISHNA,1.25,-,10.2,31.42249932
16-06-2018,ANDHRA PRADESH,SRIKAKULAM,2.05,-,17.59,30.43179785
16-06-2018,ANDHRA PRADESH,Y.S.R.,3.77,-,26.8,29.25574397
16-06-2018,ANDHRA PRADESH,CHITTOOR,5.21,-,35.1,35.74131405
16-06-2018,ANDHRA PRADESH,EAST GODAVARI,0.59,-,5.62,31.76433418
16-06-2018,ANDHRA PRADESH,GUNTUR,0.16,-,1.37,31.28596963
16-06-2018,ANDHRA PRADESH,VISAKHAPATNAM,0.81,-,7.57,30.51690718
15-06-2018,ANDHRA PRADESH,PRAKASAM,0.88,-,5.98,31.21947419
15-06-2018,ANDHRA PRADESH,VIZIANAGARAM,0.77,-,6.99,32.58402595
15-06-2018,ANDHRA PRADESH,WEST GODAVARI,0.23,-,2.03,33.52928367
15-06-2018,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,0.77,-,5.5,31.53807724
15-06-2018,ANDHRA PRADESH,ANANTAPUR,4.05,-,28.93,34.95792402
15-06-2018,ANDHRA PRADESH,KURNOOL,6.55,-,52.05,36.31973439
15-06-2018,ANDHRA PRADESH,KRISHNA,1.26,-,10.35,32.71121466
15-06-2018,ANDHRA PRADESH,SRIKAKULAM,2.11,-,18.1,31.32573821
15-06-2018,ANDHRA PRADESH,Y.S.R.,3.95,-,28.17,30.69526907
15-06-2018,ANDHRA PRADESH,CHITTOOR,5.32,-,35.69,37.39998377
15-06-2018,ANDHRA PRADESH,EAST GODAVARI,0.68,-,6.38,33.19725785
15-06-2018,ANDHRA PRADESH,GUNTUR,0.17,-,1.47,33.03498041
15-06-2018,ANDHRA PRADESH,VISAKHAPATNAM,0.88,-,8.11,31.76888872
14-06-2018,ANDHRA PRADESH,PRAKASAM,0.8,-,5.52,28.79920277
14-06-2018,ANDHRA PRADESH,VIZIANAGARAM,0.83,-,7.51,34.17824426
14-06-2018,ANDHRA PRADESH,WEST GODAVARI,0.24,-,2.11,35.49686324
14-06-2018,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,0.79,-,5.7,29.74241636
14-06-2018,ANDHRA PRADESH,ANANTAPUR,4.22,-,30.15,37.30358051
14-06-2018,ANDHRA PRADESH,KURNOOL,6.77,-,53.91,37.49526362
14-06-2018,ANDHRA PRADESH,KRISHNA,1.29,-,10.54,33.3666236
14-06-2018,ANDHRA PRADESH,SRIKAKULAM,2.23,-,19,32.83672806
14-06-2018,ANDHRA PRADESH,Y.S.R.,4.1,-,29.21,31.0081523
14-06-2018,ANDHRA PRADESH,CHITTOOR,5.12,-,34.43,36.11167409
14-06-2018,ANDHRA PRADESH,EAST GODAVARI,0.79,-,7.3,34.9028383
14-06-2018,ANDHRA PRADESH,GUNTUR,0.17,-,1.42,33.06376475
14-06-2018,ANDHRA PRADESH,VISAKHAPATNAM,0.97,-,8.77,33.24088664
13-06-2018,ANDHRA PRADESH,PRAKASAM,0.87,-,5.96,29.96168334
13-06-2018,ANDHRA PRADESH,VIZIANAGARAM,0.9,-,8.09,36.0107032
13-06-2018,ANDHRA PRADESH,WEST GODAVARI,0.25,-,2.19,37.84469217
13-06-2018,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,0.84,-,6.03,31.03456695
13-06-2018,ANDHRA PRADESH,ANANTAPUR,4.23,-,30.32,37.05889378
13-06-2018,ANDHRA PRADESH,KURNOOL,6.87,-,54.76,39.43762108
13-06-2018,ANDHRA PRADESH,KRISHNA,1.3,-,10.7,35.36587235
13-06-2018,ANDHRA PRADESH,SRIKAKULAM,2.37,-,20.1,34.62503842
13-06-2018,ANDHRA PRADESH,Y.S.R.,4.27,-,30.38,32.30751197
13-06-2018,ANDHRA PRADESH,CHITTOOR,5.08,-,34.11,36.53601164
13-06-2018,ANDHRA PRADESH,EAST GODAVARI,0.95,-,8.53,36.93228058
13-06-2018,ANDHRA PRADESH,GUNTUR,0.18,-,1.5,35.17861623
13-06-2018,ANDHRA PRADESH,VISAKHAPATNAM,1.17,-,10.1,35.03861864
12-06-2018,ANDHRA PRADESH,PRAKASAM,0.93,-,6.38,31.14906441
12-06-2018,ANDHRA PRADESH,VIZIANAGARAM,0.96,-,8.57,37.30154677
12-06-2018,ANDHRA PRADESH,WEST GODAVARI,0.24,-,2.17,41.65595511
12-06-2018,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,0.87,-,6.26,31.43743614
12-06-2018,ANDHRA PRADESH,ANANTAPUR,4.38,-,31.31,39.15135381
12-06-2018,ANDHRA PRADESH,KURNOOL,6.92,-,55.09,41.13876994
12-06-2018,ANDHRA PRADESH,KRISHNA,1.33,-,10.94,37.49974042
12-06-2018,ANDHRA PRADESH,SRIKAKULAM,2.48,-,20.95,35.67967803
12-06-2018,ANDHRA PRADESH,Y.S.R.,4.43,-,31.39,33.81181125
12-06-2018,ANDHRA PRADESH,CHITTOOR,5.1,-,34.26,34.58697497
12-06-2018,ANDHRA PRADESH,EAST GODAVARI,1.16,-,10.02,39.97833143
12-06-2018,ANDHRA PRADESH,GUNTUR,0.18,-,1.52,37.06685677
12-06-2018,ANDHRA PRADESH,VISAKHAPATNAM,1.38,-,11.51,37.00537714
11-06-2018,ANDHRA PRADESH,PRAKASAM,0.99,-,6.73,31.59030204
11-06-2018,ANDHRA PRADESH,VIZIANAGARAM,1.02,-,8.96,38.01216025
11-06-2018,ANDHRA PRADESH,WEST GODAVARI,0.2,-,1.81,36.67272084
11-06-2018,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,0.89,-,6.44,32.22911267
11-06-2018,ANDHRA PRADESH,ANANTAPUR,4.44,-,31.69,40.16065973
11-06-2018,ANDHRA PRADESH,KURNOOL,6.98,-,55.49,42.12518396
11-06-2018,ANDHRA PRADESH,KRISHNA,1.23,-,10.04,33.95025552
11-06-2018,ANDHRA PRADESH,SRIKAKULAM,2.61,-,21.88,36.53185292
11-06-2018,ANDHRA PRADESH,Y.S.R.,4.52,-,32,34.98561898
11-06-2018,ANDHRA PRADESH,CHITTOOR,5.16,-,34.62,35.24278317
11-06-2018,ANDHRA PRADESH,EAST GODAVARI,0.94,-,8.23,37.97334533
11-06-2018,ANDHRA PRADESH,GUNTUR,0.17,-,1.41,35.58014299
11-06-2018,ANDHRA PRADESH,VISAKHAPATNAM,1.18,-,10.23,36.45120522
10-06-2018,ANDHRA PRADESH,PRAKASAM,1.09,-,7.24,32.43783103
10-06-2018,ANDHRA PRADESH,VIZIANAGARAM,1.21,-,10.36,38.49464461
10-06-2018,ANDHRA PRADESH,WEST GODAVARI,0.21,-,1.82,32.6726471
10-06-2018,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,0.9,-,6.53,33.3523856
10-06-2018,ANDHRA PRADESH,ANANTAPUR,4.44,-,31.64,40.46740818
10-06-2018,ANDHRA PRADESH,KURNOOL,7.09,-,56.05,43.68492107
10-06-2018,ANDHRA PRADESH,KRISHNA,1.23,-,10.03,32.75576792
10-06-2018,ANDHRA PRADESH,SRIKAKULAM,2.94,-,24.22,37.21060194
10-06-2018,ANDHRA PRADESH,Y.S.R.,4.56,-,32.21,36.02356404
10-06-2018,ANDHRA PRADESH,CHITTOOR,5.21,-,34.98,35.67225444
10-06-2018,ANDHRA PRADESH,EAST GODAVARI,0.81,-,7.31,35.26769277
10-06-2018,ANDHRA PRADESH,GUNTUR,0.16,-,1.39,35.82827728
